gene,spearman_rho,p_value,q_value
Lpcat3,-0.16822125399452026,8.45584657328335e-30,7.496506132457929e-29
Atp2a2,-0.1680602163077589,9.58891349630899e-30,8.463072313483425e-29
Ddx17,-0.16804472618788538,9.705538803310591e-30,8.527933428508907e-29
Tpp1,-0.16739005077446992,1.616051582474632e-29,1.4136876011293573e-28
Nfib,-0.1669899964638814,2.204575528249223e-29,1.9200201847351163e-28
Uvssa,-0.16682524052551934,2.5047891091167658e-29,2.1719158196157218e-28
Cyp2c67,-0.16652585567100273,3.1577576297137017e-29,2.7261514558707376e-28
Atp11c,-0.1665153250324639,3.183568246490468e-29,2.7364845318746325e-28
Tm9sf2,-0.16596787143253947,4.857199491371165e-29,4.157005798459218e-28
Entpd5,-0.16565399253620477,6.184357193602385e-29,5.270031970582722e-28
Ddx3x,-0.16559937116910636,6.449554299581668e-29,5.472432982949767e-28
Cps1,-0.16554761456512276,6.711238554666146e-29,5.670136163493577e-28
Fos,-0.1653854481372957,7.601282124573748e-29,6.394780749056299e-28
Slc25a25,-0.16517795091761608,8.912691649334282e-29,7.466267538446557e-28
Mia3,-0.16470719682253265,1.2778887344296995e-28,1.0659856658090785e-27
C6,-0.16373069132536117,2.6891453316638544e-28,2.2337984540753953e-27
Cpt1a,-0.16364012729640764,2.880582466045228e-28,2.3828081737955718e-27
Ctsd,-0.16326490400181726,3.8285811468697e-28,3.1537937197339152e-27
Gm10768,-0.16290892055380923,5.011728907426751e-28,4.1112813485405335e-27
Ctsb,-0.16273980367677315,5.694478223231552e-28,4.652059275755694e-27
Sel1l,-0.16242268533286153,7.232693974450225e-28,5.884376949583578e-27
Slc6a6,-0.16228764178374952,8.006795206809912e-28,6.487473001583278e-27
Slc16a10,-0.1620301443439305,9.71747849461591e-28,7.841410197492105e-27
H2-D1,-0.16189484392677803,1.0756851674071772e-27,8.644835674650363e-27
Acsl5,-0.16162371262274855,1.3182757959166803e-27,1.0551543516304765e-26
Hnrnph1,-0.16158913838494257,1.352875421341174e-27,1.0784817370933471e-26
Canx,-0.16118437084090248,1.831454028040946e-27,1.454130366842149e-26
Mbnl1,-0.16114849954934468,1.8812074673403783e-27,1.487658865172771e-26
Cyp8b1,-0.16098581371417123,2.124205446739943e-27,1.6731291506792302e-26
Kif1b,-0.16081574919279043,2.41151644872942e-27,1.891892071086533e-26
Sppl2a,-0.16033381042401398,3.452153993489553e-27,2.697592270801915e-26
Slc22a28,-0.15972073993075098,5.439787449379069e-27,4.2340392863867795e-26
Cxadr,-0.1596959876412619,5.540373766266096e-27,4.2954191905521845e-26
Abcg8,-0.15961263380242402,5.892851299717295e-27,4.550846492008239e-26
2900005J15Rik,-0.15940099424544146,6.890844926240438e-27,5.30085619423243e-26
Pim3,-0.1592486907925895,7.711020019648056e-27,5.908793247614035e-26
Abcg5,-0.1590537834208497,8.90312654212977e-27,6.795938677139211e-26
Tbx3,-0.15895064780254478,9.606072646830017e-27,7.304309854916517e-26
Faah,-0.15861232187111243,1.2321239156389322e-26,9.332984602368463e-26
Slc16a2,-0.15834467029918717,1.4997221638633848e-26,1.1316605793732487e-25
Serpina1c,0.1575860158081595,2.613016718371269e-26,1.9642334799315583e-25
Abcb4,-0.15738290044517309,3.0303819324373627e-26,2.269342833495707e-25
Ece1,-0.15659127878874043,5.388857429882551e-26,4.020290995802944e-25
Rpn2,-0.15644147150973803,6.007036679463074e-26,4.464628389209961e-25
Ddx3y,-0.15553079168561046,1.1597527125996223e-25,8.587382444979227e-25
Ces1d,-0.15504301615353402,1.6469711721546927e-25,1.2149485102051595e-24
Tmem56,-0.15416778077626672,3.0815128809721696e-25,2.2647401359412563e-24
Inhbe,-0.15414319790045916,3.136049861911282e-25,2.2962853988883722e-24
Cyp2c70,-0.1536214742389171,4.547634298450052e-25,3.3175915158803516e-24
Mafb,-0.1535522009977629,4.777203979635967e-25,3.472254510198642e-24
Lect2,-0.15313935071427603,6.403774902804491e-25,4.637458968074901e-24
Ldlr,-0.15312043071291287,6.490224888691735e-25,4.6829104397604236e-24
Cyp2a4,-0.15307469264184423,6.704017389601631e-25,4.819579046997246e-24
Pon1,-0.1529762294710752,7.188220517328958e-25,5.1489536096954164e-24
Pcsk6,-0.1527908476559559,8.195745828731605e-25,5.849454694369091e-24
Ppp1r3b,-0.1526591111867483,8.995542224285587e-25,6.397189560220362e-24
Prkd3,-0.15223965646212595,1.209336944592078e-24,8.569387596625586e-24
Ganab,-0.15193407647004054,1.4995026027153823e-24,1.0587559448458253e-23
Sc5d,-0.15169928977970273,1.7683903834783266e-24,1.2441664726464953e-23
Snord104,-0.15144814467347295,2.108986107078665e-24,1.4785338771966385e-23
